"","RespondentID","CollectorID","StartDate","EndDate","IP.Address","Age","country","gender","past_chatt","past_streaming_video","past_robot","en_communication","en_programmation","en_gestion","en_organisation","prog_ennuyant","pratik_amel","meilleur_prog","plus_de_robotik","filles_moins_prog","aime_prog","prog_fun_team","robotik_interet","hard_robotik","hard_prog","useless_challenge","happy_help","good_team","serious_input","ask_adult","ask_teamate","student_help_robotik","influence_teamates","suggestions_followed","take_initiatives","solo_worker","split_work","unorganized_team","trained_forr2t2","I.was.not.always.asking.my.teammates.their.opinion.in.what.I.was.doing...Don.t.know","We.splitted.the.work.equally.between.the.team.members...Strongly.agree","We.splitted.the.work.equally.between.the.team.members...Agree","We.splitted.the.work.equally.between.the.team.members...Disagree","We.splitted.the.work.equally.between.the.team.members...Strongly.disagree","We.splitted.the.work.equally.between.the.team.members...Don.t.know","Our.team.was.noisy.and.disordely...Strongly.agree","Our.team.was.noisy.and.disordely...Agree","Our.team.was.noisy.and.disordely...Disagree","Our.team.was.noisy.and.disordely...Strongly.disagree","Our.team.was.noisy.and.disordely...Don.t.know","I.use.my.imagination","I.try.things.out","I.use.the.programming.environment.correctly","I.check.my.work","Other.people.have.told.me.that.I.am.good","I.know.how.to.code","I.know.how.to.type","I.talk.about.my.ideas.with.others","I.enjoy.programming","I.don.t.know","Other","Happy","Sociable","Geeky.nerds","Outgoing.confident","Hasn.t.got.lots.of.friends","Intelligent","Creative","Someone.who.will.do.well.in.life","Use.his.her.imagination","Try.things.out","Use.the.programming.environment.correctly","Check.his.her.work","Know.how.to.code","Know.how.to.type","Discuss.his.her.ideas.with.others","Enjoy.programming","I.don.t.know.1","Have.you.got.some.specific.training..programming.robotics..for.this.day..in.a.group.or.individually."
"11",5073646475,93710474,"11/02/2016 15:53:34","11/02/2016 16:20:56","82.189.93.21",13,"Italy","male","2","2","2","3","2","3","3","4","3","2","3","3","1","2","2","2","2","3","2","3","2","2","3","2","2","3","2","3","2","3","2",NA,NA,2,NA,NA,NA,NA,NA,3,NA,NA,1,2,3,4,NA,NA,NA,8,9,NA,NA,NA,2,NA,4,NA,6,7,NA,1,2,NA,4,NA,6,7,NA,9,NA
"12",5073645996,93710474,"11/02/2016 15:52:03","11/02/2016 16:12:25","82.189.93.21",13,"Italy","male","1","1","2","1","2","","1","3","2","5","3","5","2","2","2","3","3","3","2","2","2","2","3","3","3","3","2","3","2","2","1",NA,NA,2,NA,NA,NA,NA,2,NA,NA,NA,1,2,3,4,NA,NA,NA,NA,9,NA,11,1,NA,NA,NA,NA,6,7,8,1,NA,3,NA,NA,NA,NA,NA,NA,1
"13",5073645934,93710474,"11/02/2016 15:53:20","11/02/2016 16:11:53","82.189.93.21",12,"Italy","female","2","1","2","4","2","3","3","2","2","3","2","1","2","2","2","3","2","2","3","2","2","2","2","3","4","2","3","2","2","4","2",NA,NA,2,NA,NA,NA,NA,NA,NA,4,NA,NA,2,NA,4,NA,NA,NA,8,NA,NA,NA,NA,2,NA,NA,NA,6,7,NA,NA,2,NA,4,NA,NA,7,NA,NA,NA
"14",5073645424,93710474,"11/02/2016 15:52:34","11/02/2016 16:10:59","82.189.93.21",13,"Italy","male","2","1","1","1","1","1","1","1","2","4","4","3","3","3","3","2","2","3","1","3","3","2","1","1","3","3","3","3","2","1","2",NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,6,7,NA,1,2,3,4,5,6,7,8,9,NA
"15",5073644899,93710474,"11/02/2016 15:52:03","11/02/2016 16:09:06","82.189.93.21",13,"Italy","male","1","1","2","3","2","1","1","5","2","4","1","3","4","3","1","2","3","4","1","3","4","1","","5","1","4","4","1","3","5","1",NA,NA,NA,3,NA,NA,NA,NA,NA,NA,5,NA,2,3,4,NA,6,7,NA,9,NA,NA,1,2,NA,4,NA,6,7,NA,NA,2,3,4,NA,NA,NA,8,NA,1
"16",5073644434,93710474,"11/02/2016 15:53:15","11/02/2016 16:14:49","82.189.93.21",13,"Italy","female","1","1","2","3","2","3","3","4","2","1","2","4","2","1","2","1","1","4","1","1","3","1","1","1","2","1","2","2","1","3","1",NA,1,NA,NA,NA,NA,NA,NA,3,NA,NA,1,NA,3,4,NA,NA,7,8,9,NA,NA,NA,2,3,NA,NA,6,7,8,1,2,3,4,5,6,NA,8,NA,1
"17",5073638473,93710474,"11/02/2016 15:49:59","11/02/2016 15:59:16","41.146.224.253",14,"South Africa","female","1","1","1","4","4","4","4","4","1","2","1","5","1","2","1","3","3","3","1","1","3","","2","2","1","3","2","2","2","3","1",NA,NA,2,NA,NA,NA,NA,NA,3,NA,NA,1,2,3,4,5,6,7,8,9,NA,NA,1,2,3,4,NA,6,7,8,1,2,3,4,5,6,7,8,NA,1
"18",5073636012,93710474,"11/02/2016 15:49:24","11/02/2016 16:14:30","88.147.104.143",11,"Italy","female","2","1","1","","3","3","3","4","4","5","3","2","2","5","2","2","5","5","2","2","4","4","3","5","3","3","3","3","5","4","2",NA,NA,NA,NA,NA,5,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,8,9,NA,NA,NA,2,NA,NA,NA,6,7,NA,NA,2,3,NA,NA,NA,7,NA,9,NA
"19",5073631456,93710474,"11/02/2016 15:47:35","11/02/2016 15:56:38","88.147.104.143",13,"Italy","male","1","1","1","3","3","2","3","2","2","2","3","2","1","1","1","2","2","1","2","2","3","2","2","3","2","3","3","3","2","3","1",NA,NA,2,NA,NA,NA,NA,NA,3,NA,NA,1,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,1
"20",5073631251,93710474,"11/02/2016 15:47:33","11/02/2016 15:57:42","88.147.104.143",13,"Italy","male","1","1","2","3","2","2","2","4","2","3","4","5","1","1","5","3","2","1","3","2","3","5","5","2","5","3","3","5","3","4","",5,NA,NA,3,NA,NA,NA,NA,NA,4,NA,1,NA,NA,NA,5,6,7,8,NA,10,11,1,2,NA,4,NA,6,7,8,1,NA,NA,4,5,6,NA,8,9,NA
"21",5073630874,93710474,"11/02/2016 15:47:12","11/02/2016 15:56:07","88.147.104.143",13,"Italy","female","2","2","1","4","3","4","4","4","5","2","2","3","2","2","2","3","3","3","2","2","2","2","2","2","2","5","2","3","2","3","1",NA,NA,2,NA,NA,NA,NA,NA,3,NA,NA,1,NA,NA,NA,NA,NA,NA,8,9,NA,11,1,2,NA,NA,NA,6,7,NA,1,2,3,4,5,6,7,8,NA,1
"22",5073612686,93710474,"11/02/2016 15:40:16","11/02/2016 15:46:19","194.209.10.66",11,"Switzerland","male","2","1","1","3","3","2","3","4","1","3","1","3","2","1","2","1","2","3","2","2","2","2","2","2","3","3","2","3","1","2","1",NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,1,2,3,4,NA,6,7,8,9,NA,NA,1,2,NA,NA,NA,6,7,NA,1,2,NA,NA,5,6,7,8,NA,1
"23",5073611470,93710474,"11/02/2016 15:39:55","11/02/2016 15:43:37","194.209.10.66",12,"Switzerland","male","2","2","1","4","4","3","4","4","1","1","1","5","1","1","1","","4","4","1","1","1","2","1","1","1","2","1","4","1","4","1",NA,1,NA,NA,NA,NA,NA,NA,NA,4,NA,1,2,3,4,5,6,7,8,9,10,11,1,2,3,4,5,6,7,8,1,2,3,4,5,6,7,8,9,1
